State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
LA,99,510,No,No,0,142.3,89,24.19,204.5,95,17.38,203.1,114,9.14,9.1,1,2.46,0,False
MI,81,415,Yes,No,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3,True
AL,96,415,Yes,No,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,False
WV,11,510,No,Yes,38,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,7.0,7,1.89,1,False
UT,47,408,No,Yes,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,False
ND,60,510,No,No,0,203.2,99,34.54,235.8,131,20.04,224.9,112,10.12,15.1,6,4.08,2,False
WV,79,415,No,No,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3,False
CO,192,415,No,No,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,False
VA,77,510,No,No,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,False
UT,105,415,No,Yes,40,236.5,111,40.21,117.0,110,9.95,221.1,115,9.95,8.1,3,2.19,2,False
DE,67,415,Yes,Yes,35,181.1,59,30.79,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56,0,True
RI,123,415,No,Yes,27,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,15.0,1,4.05,0,False
FL,41,415,No,Yes,41,207.3,95,35.24,137.3,120,11.67,115.7,74,5.21,5.9,3,1.59,1,False
MD,76,415,Yes,No,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12.0,7,3.24,1,True
HI,118,415,No,No,0,253.2,122,43.04,201.0,78,17.09,195.3,108,8.79,9.7,7,2.62,2,False
WI,78,408,No,No,0,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,11.0,5,2.97,0,False
NV,107,510,Yes,No,0,234.1,91,39.8,163.1,105,13.86,282.5,100,12.71,10.0,3,2.7,1,False
UT,116,415,No,Yes,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0,False
GA,189,408,No,No,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2,False
NY,64,408,No,No,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,False
MT,114,510,No,No,0,189.8,101,32.27,147.7,80,12.55,172.7,121,7.77,10.6,5,2.86,1,False
NH,50,408,No,No,0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0,False
OH,65,510,No,No,0,153.9,117,26.16,220.1,122,18.71,280.5,147,12.62,8.5,3,2.3,2,False
MD,136,415,No,No,0,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2,False
NE,93,408,No,No,0,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,6.6,5,1.78,3,False
MO,22,408,No,Yes,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,False
MA,51,415,No,No,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,False
CT,134,408,No,No,0,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4,2,False
KY,108,415,No,Yes,35,169.8,136,28.87,173.7,101,14.76,214.6,105,9.66,9.5,7,2.57,2,False
NV,162,415,No,No,0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2,False
HI,117,408,No,No,0,102.3,100,17.39,135.2,104,11.49,199.7,93,8.99,15.7,10,4.24,3,False
MD,102,415,No,No,0,271.1,80,46.09,172.0,133,14.62,169.2,105,7.61,10.3,5,2.78,1,False
AZ,122,510,No,Yes,22,204.5,92,34.77,139.6,121,11.87,205.0,103,9.23,8.6,5,2.32,2,False
NE,112,415,No,No,0,167.6,100,28.49,154.5,90,13.13,281.4,107,12.66,17.3,3,4.67,2,False
VT,94,408,No,No,0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3,False
UT,91,415,No,Yes,34,175.3,96,29.8,262.3,122,22.3,143.9,76,6.48,5.6,11,1.51,1,False
WA,86,510,No,No,0,150.5,92,25.59,120.3,95,10.23,271.2,96,12.2,9.0,2,2.43,1,False
NJ,85,415,No,No,0,236.9,93,40.27,197.7,113,16.8,309.1,78,13.91,11.4,7,3.08,2,True
WV,54,510,No,Yes,33,112.0,90,19.04,208.0,112,17.68,150.3,83,6.76,11.3,4,3.05,2,False
OR,163,408,No,Yes,25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2,False
CT,74,408,No,No,0,157.1,95,26.71,213.1,36,18.11,280.4,77,12.62,7.6,3,2.05,2,False
NJ,153,510,No,No,0,122.5,145,20.83,273.3,103,23.23,197.8,71,8.9,8.0,3,2.16,2,False
WI,133,510,No,No,0,187.0,65,31.79,141.4,128,12.02,238.2,108,10.72,10.0,8,2.7,2,False
WI,84,510,No,Yes,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1,False
VA,136,408,No,No,0,142.3,79,24.19,158.0,113,13.43,177.5,75,7.99,6.0,11,1.62,2,False
UT,111,510,No,No,0,191.3,80,32.52,138.5,94,11.77,246.0,107,11.07,6.4,3,1.73,2,False
AL,197,415,Yes,No,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5,True
FL,106,415,No,Yes,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,False
VA,84,415,No,No,0,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,False
NV,76,510,Yes,No,0,241.0,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,True
WA,83,408,No,No,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,False
PA,69,415,No,No,0,143.6,88,24.41,141.8,86,12.05,194.0,83,8.73,10.8,5,2.92,3,False
PA,174,415,No,Yes,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1,False
PA,79,415,No,No,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1,True
VT,99,415,No,No,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,True
ID,114,415,No,No,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,False
PA,141,510,No,No,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,False
OR,140,415,No,No,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,True
SC,102,408,No,No,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,False
SC,100,510,No,No,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,False
MS,105,415,No,No,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,False
MS,111,415,No,Yes,36,96.8,123,16.46,170.6,105,14.5,166.0,85,7.47,13.4,4,3.62,2,False
HI,97,415,No,Yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,False
MN,68,510,No,No,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,False
VT,63,415,No,No,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,False
OH,134,408,No,No,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,False
OH,106,415,No,No,0,158.6,112,26.96,220.0,114,18.7,252.9,106,11.38,9.1,3,2.46,0,False
CO,59,510,No,No,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,False
OH,146,408,No,Yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,False
GA,160,415,No,Yes,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,False
NJ,147,415,No,Yes,36,254.2,78,43.21,228.1,105,19.39,98.0,125,4.41,13.8,7,3.73,5,False
NH,115,510,No,No,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3,False
KY,72,415,No,No,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0,False
AR,116,415,No,Yes,23,253.0,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,False
CT,50,408,No,No,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,False
NH,120,510,No,Yes,43,177.9,117,30.24,175.1,70,14.88,161.3,117,7.26,11.5,4,3.11,1,False
PA,119,408,No,No,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2,True
IL,116,510,No,No,0,164.6,110,27.98,270.6,103,23.0,230.4,109,10.37,8.0,3,2.16,0,False
WA,63,408,No,No,0,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2.0,0,False
NC,55,408,Yes,No,0,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,False
TX,92,510,No,No,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,False
CT,56,415,No,No,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,True
HI,132,408,Yes,Yes,33,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,False
ID,224,510,No,No,0,111.4,133,18.94,175.0,66,14.88,217.2,106,9.77,5.5,6,1.49,3,False
OK,105,510,Yes,Yes,28,156.1,89,26.54,107.1,114,9.1,167.7,95,7.55,14.7,3,3.97,0,True
IN,68,510,No,No,0,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,True
NM,68,408,No,No,0,131.6,89,22.37,137.0,109,11.65,256.3,107,11.53,10.2,5,2.75,3,False
VT,159,415,No,No,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,True
NY,61,415,No,No,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,False
NM,182,415,No,No,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,False
NH,103,408,No,No,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,True
DE,136,415,No,No,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,9.4,6,2.54,3,False
WI,123,415,No,No,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,False
WI,73,415,No,No,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10.0,8,2.7,0,False
TX,52,415,No,No,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,True
WA,137,408,No,No,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,False
RI,116,510,No,No,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,False
NM,94,415,No,No,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,False
MS,158,510,No,No,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,False
KY,43,408,No,No,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,False
MT,101,408,No,Yes,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,False
WI,70,415,No,No,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,False
AK,59,408,No,No,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,False
AZ,59,408,No,No,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,False
OR,33,415,Yes,No,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,False
OK,86,415,No,Yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,False
SD,87,510,No,No,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,False
RI,80,510,No,No,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,False
SD,108,415,No,No,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2,False
NY,104,415,No,Yes,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,False
OK,87,415,No,No,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,False
IN,119,510,No,No,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,False
GA,64,408,No,No,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,6.4,5,1.73,3,False
MI,127,510,No,Yes,25,203.8,118,34.65,267.1,48,22.7,225.1,105,10.13,7.3,5,1.97,0,False
SD,125,510,No,Yes,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,False
ME,140,415,No,No,0,159.1,104,27.05,269.8,106,22.93,220.4,116,9.92,10.3,4,2.78,1,False
NJ,113,415,No,No,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,False
IA,75,415,No,No,0,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3.0,1,False
WA,106,408,No,No,0,193.6,66,32.91,238.2,82,20.25,176.4,107,7.94,12.9,3,3.48,0,False
NV,141,415,No,No,0,192.4,111,32.71,156.9,87,13.34,175.8,82,7.91,11.0,6,2.97,0,False
CO,65,510,No,No,0,158.8,53,27.0,188.5,132,16.02,189.3,87,8.52,9.8,4,2.65,2,False
MA,71,510,No,No,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,True
WI,111,415,No,No,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,False
NH,74,408,No,No,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2,True
NY,40,408,No,No,0,242.5,82,41.23,232.9,97,19.8,154.0,86,6.93,9.6,7,2.59,0,False
MN,123,408,No,No,0,236.2,135,40.15,273.9,88,23.28,227.0,77,10.22,10.1,6,2.73,2,True
WY,111,415,No,No,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4,False
TX,37,510,Yes,No,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0,True
KS,43,415,No,No,0,27.0,117,4.59,160.9,97,13.68,279.5,96,12.58,10.7,3,2.89,3,False
VT,46,408,No,No,0,196.7,85,33.44,205.9,74,17.5,216.6,112,9.75,11.2,5,3.02,3,False
MT,73,408,No,Yes,26,131.2,98,22.3,106.5,97,9.05,221.7,96,9.98,10.2,6,2.75,2,False
NH,130,415,No,No,0,213.1,105,36.23,206.2,108,17.53,163.4,93,7.35,8.9,3,2.4,0,False
VA,92,510,Yes,No,0,252.3,120,42.89,207.0,112,17.6,284.6,95,12.81,12.0,5,3.24,3,True
SC,212,415,No,No,0,226.0,127,38.42,304.6,83,25.89,181.2,132,8.15,12.6,4,3.4,2,True
NC,72,415,No,No,0,137.6,106,23.39,143.5,94,12.2,273.7,110,12.32,9.6,6,2.59,2,False
NV,94,408,Yes,No,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,True
NC,115,510,Yes,No,0,251.3,69,42.72,252.5,96,21.46,118.3,112,5.32,9.9,1,2.67,3,True
ND,166,510,No,No,0,197.9,89,33.64,251.0,113,21.34,138.3,85,6.22,11.2,2,3.02,2,False
WY,80,510,No,No,0,101.1,121,17.19,263.2,110,22.37,137.7,74,6.2,7.3,5,1.97,0,False
AL,121,415,No,No,0,168.9,128,28.71,123.9,99,10.53,266.3,105,11.98,2.9,7,0.78,2,False
AR,138,510,No,No,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3,False
UT,91,510,No,No,0,123.8,107,21.05,319.0,125,27.12,237.6,78,10.69,7.3,4,1.97,2,False
CA,137,415,No,Yes,22,189.6,42,32.23,179.0,137,15.22,179.6,126,8.08,11.4,5,3.08,2,False
MA,120,415,No,No,0,137.3,100,23.34,212.2,129,18.04,152.7,92,6.87,10.5,2,2.84,1,False
RI,117,408,No,Yes,13,207.6,65,35.29,152.7,77,12.98,232.8,95,10.48,9.7,3,2.62,1,False
NV,88,415,No,No,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4,True
FL,113,510,No,No,0,92.6,85,15.74,177.6,92,15.1,159.8,72,7.19,14.4,4,3.89,3,False
OH,80,415,No,No,0,197.6,83,33.59,164.5,86,13.98,94.0,98,4.23,6.4,6,1.73,1,False
WY,94,408,No,No,0,207.0,109,35.19,167.4,80,14.23,238.2,117,10.72,2.6,6,0.7,1,False
UT,32,510,No,Yes,26,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,9.0,9,2.43,1,False
WV,74,510,No,No,0,124.0,102,21.08,262.1,101,22.28,268.2,98,12.07,11.7,2,3.16,2,False
CT,48,415,No,No,0,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2,False
VT,157,510,No,No,0,168.6,71,28.66,205.1,48,17.43,175.8,88,7.91,5.9,2,1.59,3,False
AR,98,415,No,No,0,227.1,116,38.61,120.5,103,10.24,117.0,102,5.27,4.7,4,1.27,5,True
NM,118,415,No,Yes,42,148.7,105,25.28,167.3,105,14.22,270.6,105,12.18,10.4,7,2.81,0,False
NE,34,415,No,No,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0,False
MN,100,415,No,Yes,27,221.7,100,37.69,236.1,70,20.07,192.7,91,8.67,8.0,4,2.16,0,False
OK,93,415,No,Yes,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11.0,9,2.97,0,False
VA,43,408,No,Yes,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3,False
AL,106,415,No,No,0,212.9,110,36.19,187.0,69,15.9,128.1,71,5.76,6.3,3,1.7,3,False
NY,82,415,No,No,0,167.1,77,28.41,131.8,79,11.2,187.4,98,8.43,9.4,1,2.54,6,True
NM,16,510,No,No,0,144.8,84,24.62,164.9,141,14.02,231.5,75,10.42,8.2,4,2.21,2,False
MN,124,510,Yes,No,0,157.8,71,26.83,203.2,114,17.27,168.7,82,7.59,10.0,2,2.7,3,True
NY,122,415,No,Yes,37,163.0,107,27.71,312.8,118,26.59,200.0,85,9.0,11.6,5,3.13,1,False
ID,101,510,No,Yes,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,False
MI,61,415,No,No,0,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2,False
ND,118,408,No,No,0,224.6,94,38.18,225.9,120,19.2,269.0,105,12.11,12.5,8,3.38,2,False
FL,105,415,No,No,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,True
IN,68,415,No,No,0,222.1,107,37.76,199.4,102,16.95,162.4,107,7.31,9.4,3,2.54,2,False
MA,66,415,No,No,0,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84,3,False
VT,116,415,No,No,0,129.4,84,22.0,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0,False
AK,74,415,No,No,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78,3,False
OR,51,510,No,No,0,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81,2,False
OR,112,510,No,No,0,206.2,122,35.05,164.5,94,13.98,140.3,101,6.31,12.6,7,3.4,3,False
MT,130,408,No,Yes,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2,False
IN,57,415,No,No,0,189.3,157,32.18,174.9,70,14.87,221.9,117,9.99,11.2,5,3.02,3,False
AZ,68,415,No,No,0,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84,1,False
WI,165,408,No,No,0,156.0,88,26.52,276.1,81,23.47,175.9,94,7.92,9.3,5,2.51,1,False
DC,114,415,No,No,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5,True
SC,1,408,No,No,0,123.8,113,21.05,236.2,77,20.08,73.2,81,3.29,3.7,2,1.0,0,False
ID,83,415,No,No,0,159.3,104,27.08,202.3,98,17.2,229.0,73,10.31,9.5,3,2.57,2,False
MD,120,415,No,Yes,40,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21,0,False
SD,183,415,No,Yes,31,171.2,104,29.1,193.6,74,16.46,196.5,85,8.84,10.2,4,2.75,1,False
NM,118,510,No,No,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7.0,6,1.89,0,False
DC,45,415,No,No,0,96.1,103,16.34,246.8,134,20.98,229.7,92,10.34,9.7,4,2.62,1,False
IN,88,415,No,No,0,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,8.3,5,2.24,3,False
WA,48,510,No,No,0,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,3,False
MN,79,408,No,Yes,32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2,False
CA,120,415,No,No,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7.0,13.8,3,3.73,1,False
VT,138,415,No,No,0,230.1,107,39.12,212.0,120,18.02,174.9,119,7.87,13.2,4,3.56,1,False
NY,86,510,No,No,0,70.7,125,12.02,211.0,113,17.94,174.6,107,7.86,0.0,0,0.0,2,False
VA,44,408,No,No,0,204.6,117,34.78,205.2,94,17.44,164.6,84,7.41,10.7,5,2.89,0,False
TN,106,415,No,No,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2,False
NJ,88,510,No,No,0,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,3,False
AR,109,510,No,No,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,3,False
NC,122,415,No,No,0,215.6,86,36.65,167.8,59,14.26,207.0,67,9.32,6.4,8,1.73,3,False
WA,120,408,No,Yes,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1,False
MT,16,510,No,No,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1,False
MS,102,510,Yes,No,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3,False
WV,124,415,No,No,0,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,1,True
GA,194,510,No,No,0,193.3,106,32.86,169.0,150,14.37,225.2,122,10.13,11.8,4,3.19,0,False
OK,63,415,No,No,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1,False
GA,64,510,No,No,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3,False
MI,53,510,No,Yes,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12.0,9,3.24,2,False
OH,115,510,Yes,No,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,True
DE,97,510,No,No,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0,True
MS,78,415,No,Yes,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,False
MD,106,415,No,No,0,208.3,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,4.29,3,False
UT,116,415,No,Yes,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,False
ID,135,510,No,No,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,False
KY,73,510,No,No,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,2,False
ND,147,408,Yes,Yes,35,157.5,109,26.78,189.6,67,16.12,227.0,76,10.22,11.1,2,3.0,3,True
MI,105,415,No,No,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0,True
MN,163,408,No,Yes,22,215.1,91,36.57,138.9,102,11.81,146.2,109,6.58,12.4,2,3.35,2,False
DC,68,415,Yes,Yes,39,142.0,140,24.14,241.6,89,20.54,302.0,72,13.59,11.3,5,3.05,1,False
SC,116,408,No,No,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,True
WY,104,415,No,No,0,138.7,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,2,False
NJ,88,415,No,No,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,True
VA,50,415,Yes,No,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,True
ND,180,415,No,No,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3,True
IA,44,415,No,No,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,True
OK,160,408,No,No,0,166.4,117,28.29,317.0,129,26.95,160.4,121,7.22,10.0,2,2.7,1,False
WV,125,415,No,No,0,206.0,128,35.02,198.1,71,16.84,135.9,116,6.12,13.2,3,3.56,0,False
MI,158,415,No,No,0,195.9,103,33.3,89.1,95,7.57,302.2,82,13.6,10.3,3,2.78,1,False
ND,50,415,No,No,0,295.3,127,50.2,127.4,100,10.83,166.8,105,7.51,9.6,6,2.59,1,False
